Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.00975120067596 6.50000000064e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.00974669456482 6.2000000014e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.00978288650513 7.69999999761e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.00977320671082 6.30000000115e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.00585761070251 7.89999999711e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.00580778121948 6.10000000165e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 2.196230793 8.0999999966e-05 0.00048828125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.556157779694 6.89999999963e-05 0.001953125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.266891002655 7.09999999913e-05 0.00390625
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.134314417839 9.79999999799e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.134042906761 7.90000000279e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0670788049698 6.79999999988e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0335849046707 8.20000000203e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.0334843158722 8.10000000229e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0334397792816 6.79999999988e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.0168473958969 7.29999999862e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.0167999982834 6.99999999938e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.0167731046677 8.20000000203e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.00850269794464 8.20000000203e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.00848081111908 7.90000000279e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.00845618247986 7.79999999736e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.00844819545746 6.79999999988e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.00434370040894 8.00000000254e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.00432360172272 7.60000000355e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 6518.42036688 6.0000000019e-05 0.00048828125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 1331.0978471 6.90000015311e-05 0.001953125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 505.598411393 8.29999917187e-05 0.00390625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 259.323590207 6.79999939166e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 160.170713305 6.89999433234e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 107.662755299 6.79999939166e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 79.1063662052 6.69999863021e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 61.8266425133 6.79999939166e-05 0.03125
