Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.265287494659 6.10000000165e-05 0.00390625
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.132613706589 6.40000000089e-05 0.0078125
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.132766699791 6.2000000014e-05 0.0078125
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0674564123154 6.4999999978e-05 0.015625
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0678129911423 6.19999999856e-05 0.015625
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.034613609314 6.10000000165e-05 0.03125
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0346726894379 7.10000000197e-05 0.03125
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.0202359199524 6.19999999856e-05 0.0625
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.020278096199 6.70000000014e-05 0.0625
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.0202719926834 6.60000000039e-05 0.0625
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.0201970100403 8.60000000102e-05 0.0625
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.0116710186005 6.70000000014e-05 0.125
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.0114195108414 6.79999999988e-05 0.125
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.0110059976578 6.70000000014e-05 0.125
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.0102761030197 6.60000000039e-05 0.125
Finished  FD_waveform_test(Mtot, xNSBH, LS.SEOBNRv4_ROM_NRTidal, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.00570631027222 6.19999999856e-05 0.25
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 2.27528049946 6.60000000039e-05 0.00048828125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.560522699356 6.40000000089e-05 0.001953125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.267198896408 6.29999999546e-05 0.00390625
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.134049606323 6.40000000089e-05 0.0078125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.132018399239 6.40000000089e-05 0.0078125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0659440040588 6.2000000014e-05 0.015625
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0654877185822 6.60000000039e-05 0.015625
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.032733798027 6.79999999988e-05 0.03125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0327706098557 6.79999999988e-05 0.03125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.0164870023727 6.50000000064e-05 0.0625
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.0165101051331 6.10000000165e-05 0.0625
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.0168170928955 6.89999999963e-05 0.0625
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.0164323806763 6.49999999496e-05 0.0625
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.00851359367371 6.40000000089e-05 0.125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.00839779376984 6.50000000064e-05 0.125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.00818910598755 5.89999999647e-05 0.125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.00832879543304 5.80000000241e-05 0.125
Finished  FD_waveform_test(Mtot, xNSBH, LS.IMRPhenomD_NRTidal, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.00420069694519 7.79999999736e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 10471.8060357 6.0000000019e-05 0.00048828125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 2164.71426311 6.70000445098e-05 0.001953125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 813.207368898 6.60000368953e-05 0.00390625
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 413.045138097 0.000109000015073 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 249.049783206 7.49999890104e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 163.678913903 7.10000167601e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 116.903511405 8.00000270829e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 89.3410954952 7.49999890104e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 69.3625833988 0.000108999956865 0.03125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 56.1800292969 8.30000499263e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 45.3401714087 8.10000346974e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 39.0918226004 7.80000118539e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 33.6990491152 7.39999813959e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 28.5897211075 6.79999939166e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 25.6998442173 7.39999813959e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 22.9071413994 6.79999939166e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 20.786849308 6.79999939166e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TEOBv4, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 18.6072257042 6.79999939166e-05 0.25
All done.
